city_name,date,pm10
Pune,1/13/2013,329.6667
Mumbai,1/13/2013,211
Bhiwandi,1/13/2013,62
Thane,1/13/2013,131
Dombivali,1/13/2013,98
Nagpur,1/13/2013,39
Taloja,1/14/2010,205.5
Nagpur,1/14/2010,88.5
Jalna,1/14/2010,53
Aurangabad,1/14/2010,76
Solapur,1/14/2010,63
Chandrapur,1/14/2010,141.1667
Mumbai,1/14/2010,245.5
Nashik,1/14/2010,103.5
Mumbai Metro,1/14/2010,156
Navi Mumbai,1/14/2010,122
Raigad,1/14/2010,130
Sangli,1/14/2010,119
Dahanu,1/14/2010,141.1667
Kolhapur,1/14/2010,52
Jalgaon,1/14/2010,114
Thane,1/14/2010,51
Amravati,1/14/2010,76
Pune,1/14/2010,130
Thane,1/14/2011,54
Akola,1/14/2011,157
Latur,1/14/2011,108
Taloja,1/14/2011,177.3333
Pune,1/14/2011,209.3333
Jalgaon,1/14/2011,121
Lote,1/14/2011,150
Nashik,1/14/2011,135.5
Aurangabad,1/14/2011,252
Mumbai Metro,1/14/2011,170.7083
Mumbai,1/14/2011,217.5
Amravati,1/14/2011,160
Navi Mumbai,1/14/2011,234
Raigad,1/14/2011,209.3333
Solapur,1/14/2011,168.5
Kolhapur,1/14/2011,113
Sangli,1/14/2011,119
Nagpur,1/14/2011,46.5
Nagpur,1/14/2012,56
Pune,1/14/2012,256.5
Latur,1/14/2012,136
Amravati,1/14/2012,109
Aurangabad,1/14/2012,101
Kolhapur,1/14/2012,122
Dahanu,1/14/2012,64
Panvel,1/14/2012,160
Navi Mumbai,1/14/2012,183.6667
Mumbai,1/14/2012,190
Lote,1/14/2012,42
Raigad,1/14/2012,256.5
Thane,1/14/2012,54
Nanded,1/14/2012,46
Jalgaon,1/14/2012,113
Chandrapur,1/14/2012,64
Sangli,1/14/2012,100
Akola,1/14/2012,165
Nashik,1/14/2012,141.5
Mumbai Metro,1/14/2012,146.9167
Nashik,1/14/2013,110
Raigad,1/14/2013,201
Aurangabad,1/14/2013,89
Navi Mumbai,1/14/2013,183.6667
Ulhasnagar,1/14/2013,111
Jalgaon,1/14/2013,124
Pune,1/14/2013,201
Ambernath,1/14/2013,108
Solapur,1/14/2013,103.5
Chandrapur,1/14/2013,267
Latur,1/14/2013,145
Mumbai,1/14/2013,196
Mumbai Metro,1/14/2013,141.8667
Kolhapur,1/14/2013,76
Dahanu,1/14/2013,267
Sangli,1/14/2013,165
Akola,1/14/2013,140
Nanded,1/14/2013,110
Taloja,1/14/2013,110.6667
Amravati,1/14/2013,79
Nagpur,1/14/2013,60.5
Jalgaon,1/15/2010,87
Mumbai Metro,1/15/2010,122.5417
Thane,1/15/2010,52
Pune,1/15/2010,119
Sangli,1/15/2010,45
Jalna,1/15/2010,77
Taloja,1/15/2010,79
Solapur,1/15/2010,67
Aurangabad,1/15/2010,97
Nagpur,1/15/2010,93
Akola,1/15/2010,113
Navi Mumbai,1/15/2010,109.6667
Nashik,1/15/2010,123
Amravati,1/15/2010,116
Mumbai,1/15/2010,249.5
Chandrapur,1/15/2010,134
Dahanu,1/15/2010,134
Raigad,1/15/2010,119
Kolhapur,1/15/2010,101
Latur,1/15/2010,73
Nagpur,1/15/2011,67
Pune,1/15/2011,184.5
Akola,1/15/2011,159
Raigad,1/15/2011,184.5
Nashik,1/15/2011,88
Taloja,1/15/2011,200
